[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET / 
[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET /login_animation.js 
[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET /login_animation.css 
[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/loginvideo.mp4 
[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/waittotap.mp4 
[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/clicked.mp4 
[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListAudio/waittotap100.mp3 
[10:58:32 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/waittotap.mp4 
[10:58:33 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/waittotap.mp4 
[10:58:33 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/loginvideo.mp4 
[10:58:33 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListAudio/waittotap100.mp3 
[10:58:33 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/waittotap.mp4 
[10:58:33 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/loginvideo.mp4 
[10:58:33 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/waittotap.mp4 
[10:58:33 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/a%20simple,%20modern%20mus%20(1).ico 
[10:58:36 8/1/2026] ACCESS | IP=127.0.0.1 | GET /login_animation.css 
[10:58:36 8/1/2026] ACCESS | IP=127.0.0.1 | GET /.well-known/appspecific/com.chrome.devtools.json 
[10:58:38 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/a%20simple,%20modern%20mus%20(1).ico 
[10:58:39 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/loginvideo.mp4 
[10:58:56 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/waittotap.mp4 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /phatmedia.html 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /script.js 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/Listphotos/day%205-12-2025%20at%2014_55_49%20nghi%C3%A8nifai.jpeg 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /style.css 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /scriptB.js 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /pentals.js 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListVideo/colombina.mp4 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /dataesp 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /songlist 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /video-short 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListMP3/lulaby2.mp3 
[10:59:12 8/1/2026] ACCESS | IP=127.0.0.1 | GET /videoshort/day%2011-11-2025%20at%2023_35_46%20Lactroinhatbon.mp4 
[10:59:19 8/1/2026] ACCESS | IP=127.0.0.1 | GET /style.css 
[10:59:19 8/1/2026] ACCESS | IP=127.0.0.1 | GET /.well-known/appspecific/com.chrome.devtools.json 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /phatmedia.html 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /style.css 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /script.js 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/Listphotos/day%205-12-2025%20at%2014_55_49%20nghi%C3%A8nifai.jpeg 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /scriptB.js 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /pentals.js 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /dataesp 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /songlist 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /video-short 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListMP3/La%20Casa%20de%20Papel%20%20My%20Life%20Is%20Going%20On.mp3 
[10:59:25 8/1/2026] ACCESS | IP=127.0.0.1 | GET /videoshort/day%2025-11-2025%20at%2012_50_47%20nh%E1%BB%9B%20v%E1%BB%81%20em.mp4 
[10:59:26 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/a%20simple,%20modern%20mus%20(1).ico 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /phatmedia.html 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /style.css 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /script.js 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/Listphotos/day%205-12-2025%20at%2014_55_49%20nghi%C3%A8nifai.jpeg 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /scriptB.js 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /pentals.js 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /dataesp 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /songlist 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /video-short 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/ListMP3/nodkraitheme1.mp3 
[10:59:28 8/1/2026] ACCESS | IP=127.0.0.1 | GET /videoshort/day%206-11-2025%20at%2014_40_52%20Evernight.mp4 
[10:59:29 8/1/2026] ACCESS | IP=127.0.0.1 | GET /clientdata/a%20simple,%20modern%20mus%20(1).ico 
[10:59:31 8/1/2026] ACCESS | IP=127.0.0.1 | GET /style.css 
[10:59:31 8/1/2026] ACCESS | IP=127.0.0.1 | GET /.well-known/appspecific/com.chrome.devtools.json 
[11:00:34 8/1/2026] ACCESS | IP=127.0.0.1 | GET /phatmedia.html 
